,Image,Dice_reg,K,Model
0,111018930978236771390670303639566239985_1bnarb.png,0.8783907023718901,1,affine with kl
1,111018930978236771390670303639566239985_1bnarb.png,0.8821088471564611,1,affine no kl
2,111018930978236771390670303639566239985_1bnarb.png,0.850837032389009,1,affine frozen
3,111018930978236771390670303639566239985_1bnarb.png,0.8817716946389407,3,affine with kl
4,111018930978236771390670303639566239985_1bnarb.png,0.8920933485478706,3,affine no kl
5,111018930978236771390670303639566239985_1bnarb.png,0.8589910376550683,3,affine frozen
6,111018930978236771390670303639566239985_1bnarb.png,0.8817716946389407,5,affine with kl
7,111018930978236771390670303639566239985_1bnarb.png,0.8920933485478706,5,affine no kl
8,111018930978236771390670303639566239985_1bnarb.png,0.8659314611126367,5,affine frozen
9,111018930978236771390670303639566239985_1bnarb.png,0.8817716946389407,7,affine with kl
10,111018930978236771390670303639566239985_1bnarb.png,0.8920933485478706,7,affine no kl
11,111018930978236771390670303639566239985_1bnarb.png,0.8659314611126367,7,affine frozen
12,111018930978236771390670303639566239985_1bnarb.png,0.8817716946389407,9,affine with kl
13,111018930978236771390670303639566239985_1bnarb.png,0.8920933485478706,9,affine no kl
14,111018930978236771390670303639566239985_1bnarb.png,0.8674363121808089,9,affine frozen
15,159364525876157332485573893353941089455_aepmh7.png,0.9109967113811304,1,affine with kl
16,159364525876157332485573893353941089455_aepmh7.png,0.9063989662872868,1,affine no kl
17,159364525876157332485573893353941089455_aepmh7.png,0.8977541868279273,1,affine frozen
18,159364525876157332485573893353941089455_aepmh7.png,0.9121039302491929,3,affine with kl
19,159364525876157332485573893353941089455_aepmh7.png,0.9115141458170217,3,affine no kl
20,159364525876157332485573893353941089455_aepmh7.png,0.9155577382582663,3,affine frozen
21,159364525876157332485573893353941089455_aepmh7.png,0.9121039302491929,5,affine with kl
22,159364525876157332485573893353941089455_aepmh7.png,0.9115141458170217,5,affine no kl
23,159364525876157332485573893353941089455_aepmh7.png,0.9155577382582663,5,affine frozen
24,159364525876157332485573893353941089455_aepmh7.png,0.9121039302491929,7,affine with kl
25,159364525876157332485573893353941089455_aepmh7.png,0.9115141458170217,7,affine no kl
26,159364525876157332485573893353941089455_aepmh7.png,0.9155577382582663,7,affine frozen
27,159364525876157332485573893353941089455_aepmh7.png,0.9121039302491929,9,affine with kl
28,159364525876157332485573893353941089455_aepmh7.png,0.9115141458170217,9,affine no kl
29,159364525876157332485573893353941089455_aepmh7.png,0.9155577382582663,9,affine frozen
30,10996416492353037588312781035930080694_8rstz0.png,0.8835875448091657,1,affine with kl
31,10996416492353037588312781035930080694_8rstz0.png,0.8770508782684056,1,affine no kl
32,10996416492353037588312781035930080694_8rstz0.png,0.8855361585392679,1,affine frozen
33,10996416492353037588312781035930080694_8rstz0.png,0.8835875448091657,3,affine with kl
34,10996416492353037588312781035930080694_8rstz0.png,0.8770508782684056,3,affine no kl
35,10996416492353037588312781035930080694_8rstz0.png,0.8855361585392679,3,affine frozen
36,10996416492353037588312781035930080694_8rstz0.png,0.8835875448091657,5,affine with kl
37,10996416492353037588312781035930080694_8rstz0.png,0.8770508782684056,5,affine no kl
38,10996416492353037588312781035930080694_8rstz0.png,0.8855361585392679,5,affine frozen
39,10996416492353037588312781035930080694_8rstz0.png,0.8835875448091657,7,affine with kl
40,10996416492353037588312781035930080694_8rstz0.png,0.8770508782684056,7,affine no kl
41,10996416492353037588312781035930080694_8rstz0.png,0.8855361585392679,7,affine frozen
42,10996416492353037588312781035930080694_8rstz0.png,0.8988041682893093,9,affine with kl
43,10996416492353037588312781035930080694_8rstz0.png,0.898563155317676,9,affine no kl
44,10996416492353037588312781035930080694_8rstz0.png,0.8910522607083484,9,affine frozen
45,145698282304700116300882843111967537977_f6qhtv.png,0.8927540592527321,1,affine with kl
46,145698282304700116300882843111967537977_f6qhtv.png,0.8913570852018924,1,affine no kl
47,145698282304700116300882843111967537977_f6qhtv.png,0.9086353352968797,1,affine frozen
